liquidity_health,bridge_reliability,governance_participation,label
0.625095,0.897214,0.775686,1
0.225207,0.300166,0.873553,0
0.005265,0.821228,0.797069,0
0.467935,0.303032,0.278426,0
0.254870,0.445076,0.504548,0
0.553497,0.995500,0.792662,1
0.622179,0.988960,0.215309,1
0.160212,0.612540,0.043942,0
0.035680,0.514889,0.466206,0
0.917168,0.629226,0.514118,1
0.496873,0.247515,0.011794,0
0.192402,0.692032,0.200607,0
0.369536,0.003734,0.830048,0
0.154461,0.267599,0.880332,0
0.509791,0.847150,0.639717,1
0.741771,0.091496,0.541144,0
0.507772,0.871339,0.361264,1
0.598184,0.059252,0.387632,0
0.323036,0.150200,0.816338,0
0.379446,0.978748,0.589992,1
0.605056,0.637997,0.676450,1
0.150788,0.440313,0.239564,0
0.402498,0.096704,0.967828,0
0.215004,0.671765,0.300420,0
0.874077,0.662215,0.131616,1
0.845074,0.944948,0.903917,1
0.569719,0.145460,0.192463,0
0.927906,0.552326,0.180552,1
0.884057,0.641572,0.569694,1
0.376288,0.410955,0.239489,0
0.038057,0.876219,0.467730,0
0.547635,0.322163,0.751325,0
0.025197,0.372185,0.030350,0
0.122892,0.967148,0.657761,0
0.428220,0.523740,0.872809,1
0.344211,0.590291,0.683684,0
0.355414,0.519098,0.765247,0
0.909179,0.151062,0.933419,1
0.005179,0.752978,0.810527,0
0.136764,0.418904,0.815256,0
0.014271,0.628462,0.793024,0
0.513004,0.725849,0.226423,0
0.198521,0.363127,0.179406,0
0.346061,0.948124,0.573333,1
0.340068,0.271525,0.952039,0
0.444478,0.980395,0.515523,1
0.521166,0.896541,0.742767,1
0.580653,0.426650,0.878188,1
0.411646,0.922760,0.068715,0
0.429997,0.519515,0.950938,1
0.250999,0.806039,0.676471,0
0.717086,0.629622,0.971561,1
0.332681,0.398276,0.202912,0
0.050704,0.212908,0.915464,0
0.840169,0.112406,0.603779,0
0.479196,0.594685,0.659275,1
0.306659,0.961351,0.465840,1
0.628101,0.635226,0.183889,0
0.061865,0.411517,0.764030,0
0.815222,0.729989,0.113205,1
0.913355,0.802037,0.877691,1
0.523304,0.915635,0.046652,1
0.030289,0.020216,0.252769,0
0.248570,0.187503,0.567056,0
0.038986,0.590388,0.166011,0
0.677874,0.021075,0.310570,0
0.938341,0.538396,0.811587,1
0.658026,0.610751,0.191253,0
0.574395,0.039686,0.801664,0
